supplier,category,name,sku,price_cad,pro_price,unit,url,scraped_at
IHL Canada,Lumber,1 in. x 2 in. x 10 ft. Spruce Lumber,23577,2.06,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-x-10-ft-spruce-lumber,2026-05-31T12:06:25.230395
IHL Canada,Lumber,1 in. x 2 in. x 24 in. Pointed Wood Stake (25-Pack),28679,23.48,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-pointed-wood-stake-25-pack,2026-05-31T12:06:25.230409
IHL Canada,Lumber,1 in. x 2 in. x 36 in. Chisel Pointed Wood Stake (25 Pack),28680,34.95,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-x-36-in-pointed-surveyor-wood-stakes-25-pack,2026-05-31T12:06:25.230412
IHL Canada,Lumber,1 in. x 2 in. x 8 ft. Brown Pressure Treated Lumber,22103,3.5,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-x-8-ft-brown-pressure-treated-lumber,2026-05-31T12:06:25.230415
IHL Canada,Lumber,1 in. x 2 in. x 8 ft. Spruce Lumber,20895,1.65,,Default Title,https://ihlcanada.com/products/1-in-x-2-in-spruce-lumber,2026-05-31T12:06:25.230421
IHL Canada,Lumber,1 in. x 3 in. x 8 ft. Spruce Lumber,20897,2.49,,Default Title,https://ihlcanada.com/products/1-in-x-3-in-x-8-ft-spruce-lumber,2026-05-31T12:06:25.230425
IHL Canada,Lumber,1 in. x 4 in. x 12 ft. Spruce Lumber,20900,4.88,,Default Title,https://ihlcanada.com/products/1-in-x-4-in-x-12-ft-spruce-lumber,2026-05-31T12:06:25.230427
IHL Canada,Lumber,1 in. x 4 in. x 8 ft. Spruce Lumber,20899,3.25,,Default Title,https://ihlcanada.com/products/1-in-x-4-in-spruce-lumber,2026-05-31T12:06:25.230431
IHL Canada,Lumber,1 in. x 6 in. x 10 ft. Economy Spruce Lumber,22349,4.99,,Default Title,https://ihlcanada.com/products/1-in-x-6-in-x-10-ft-economy-spruce-lumber-378-piece,2026-05-31T12:06:25.230448
IHL Canada,Lumber,1 in. x 6 in. x 14 ft. Spruce Lumber,20903,8.72,,Default Title,https://ihlcanada.com/products/1-in-x-6-in-x-14-ft-spruce-lumber,2026-05-31T12:06:25.230451
IHL Canada,Lumber,1 in. x 6 in. x 5 ft. Brown Pressure Treated Lumber Fence Board,22106,3.09,,Default Title,https://ihlcanada.com/products/1-in-x-6-in-x-5-ft-brown-pressure-treated-lumber,2026-05-31T12:06:25.230454
IHL Canada,Lumber,1 in. x 6 in. x 6 ft. Brown Pressure Treated Lumber Fence Board,22107,3.72,,Default Title,https://ihlcanada.com/products/1-in-x-6-in-x-6-ft-brown-pressure-treated-lumber,2026-05-31T12:06:25.230456
IHL Canada,Lumber,1 in. x 6 in. x 8 ft. Brown Pressure Treated Lumber Fence Board,22108,4.96,,Default Title,https://ihlcanada.com/products/1in-x-6in-brown-pressure-treated-lumber,2026-05-31T12:06:25.230458
IHL Canada,Lumber,1 in. x 6 in. x 8 ft. Spruce Lumber,20901,4.98,,Default Title,https://ihlcanada.com/products/1-in-x-6-in-spruce-lumber,2026-05-31T12:06:25.230463
IHL Canada,Lumber,1 in. x 8 in. x 16 ft. Spruce Lumber,27998,11.98,,Default Title,https://ihlcanada.com/products/1-in-x-8-in-x-16-ft-grade-3-spruce-lumber,2026-05-31T12:06:25.230466
IHL Canada,Lumber,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,Default Title,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-05-31T12:06:25.230468
IHL Canada,Lumber,1/2 in. x 4 ft. x 8 ft. Fire-Resistant Treated Plywood,27366,69.0,,Default Title,https://ihlcanada.com/products/4-ft-x-8-ft-fire-resistant-treated-plywood,2026-05-31T12:06:25.230472
IHL Canada,Lumber,1/2 in. x 4 ft. x 8 ft. Sienna Brown Pressure Treated Plywood,21734,51.89,,Default Title,https://ihlcanada.com/products/4-ft-x-8-ft-sienna-brown-pressure-treated-plywood,2026-05-31T12:06:25.230475
IHL Canada,Lumber,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,Default Title,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-05-31T12:06:25.230477
IHL Canada,Lumber,"1/2"" x 49"" x 97"" MDF Medium Density Fiberboard",34457,44.99,,Default Title,https://ihlcanada.com/products/medium-density-fibreboard-mdf-49-inches-x-97-inches-x-1-2-inches,2026-05-31T12:06:25.230479
IHL Canada,Lumber,11/16 in. x 4 ft. x 8 ft. Ultraform 7 Layer Concrete Formply Plywood,21967,89.95,,Default Title,https://ihlcanada.com/products/11-16-in-x-4-ft-x-8-ft-ultraform-7-layer-formply-plywood,2026-05-31T12:06:25.230482
IHL Canada,Lumber,12 in. x 8 ft. Brown Pressure Treated Privacy Plus Lattice,22161,11.24,,Default Title,https://ihlcanada.com/products/taiga-12-in-x-8-ft-brown-pressure-treated-privacy-plus-lattice,2026-05-31T12:06:25.230484
IHL Canada,Lumber,2 in. x 10 in. x 10 ft. Brown Pressure Treated Lumber,22131,22.1,,Default Title,https://ihlcanada.com/products/2-in-x-10-in-x-8-ft-brown-pressure-treated-lumber-1,2026-05-31T12:06:25.230486
IHL Canada,Lumber,2 in. x 10 in. x 10 ft. Spruce Lumber,20933,21.86,,Default Title,https://ihlcanada.com/products/2-in-x-10-in-x-10-ft-spruce-lumber,2026-05-31T12:06:25.230489
