Benchmark,Supplier,Product,SKU,Price (CAD),PRO Price,URL,Scraped At
1/2 Drywall 4x10,Downtown Lumber,"4x10x1/2"" Lite-Weight Drywall",,21.88,,https://www.downtownlumber.com/p/4x10x12-lite-weight-drywall/1210DW,2026-05-07T12:28:31.172104
1/2 Drywall 4x8,Downtown Lumber,"4x8x1/2"" Lite-Weight Drywall",,17.47,,https://www.downtownlumber.com/p/4x8x12-lite-weight-drywall/12DW,2026-05-07T12:28:31.172035
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-05-07T12:25:39.486594
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Degrade Spruce Plywood,26785,32.84,,https://ihlcanada.com/products/4-ft-x-8-ft-x-1-2-in-d-grade-spruce-plywood,2026-05-07T12:25:41.068728
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-05-07T12:25:39.486574
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-05-07T12:25:41.068731
1/2 Drywall 4x8,Downtown Lumber,"4x8x1/2"" Standard Spruce Plywood",,39.97,,https://www.downtownlumber.com/p/4x8x12-standard-spruce-plywood/12RGH,2026-05-07T12:28:31.172057
1/2 Drywall 4x8,New Canadian Lumber,"4x8x1/2"" Standard SPF Plywood",,39.98,,https://shop.newcanadianslumber.com/p/4x8x12-standard-spf-plywood/SP12,2026-05-07T12:28:25.974841
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Sienna Brown Pressure Treated Plywood,21734,51.89,,https://ihlcanada.com/products/4-ft-x-8-ft-sienna-brown-pressure-treated-plywood,2026-05-07T12:25:39.486783
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Sienna Brown Pressure Treated Plywood,21734,51.89,,https://ihlcanada.com/products/4-ft-x-8-ft-sienna-brown-pressure-treated-plywood,2026-05-07T12:25:41.068756
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Fire-Resistant Treated Plywood,27366,69.0,,https://ihlcanada.com/products/4-ft-x-8-ft-fire-resistant-treated-plywood,2026-05-07T12:25:39.486633
1/2 Drywall 4x8,IHL Canada,1/2 in. x 4 ft. x 8 ft. Fire-Resistant Treated Plywood,27366,69.0,,https://ihlcanada.com/products/4-ft-x-8-ft-fire-resistant-treated-plywood,2026-05-07T12:25:41.068766
1/2 Drywall 4x8,IHL Canada,Amvic Envirosheet EN20S25004 2-1/2 in. x 4 ft. x 8 ft. Type-2 EPS Rigid Foam Board Insulation (6-Piece),32515,285.0,,https://ihlcanada.com/products/amvic-envirosheet-en20s25004-2-1-2-in-x-4-ft-x-8-ft-type-2-eps-rigid-foam-board-insulation-6-piece,2026-05-07T12:25:44.204314
1/2 Spruce Plywood,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-05-07T12:25:39.486574
1/2 Spruce Plywood,IHL Canada,1/2 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20948,36.49,,https://ihlcanada.com/products/1-2-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-05-07T12:25:41.068731
1/2 Spruce Plywood,Downtown Lumber,"4x8x1/2"" Standard Spruce Plywood",,39.97,,https://www.downtownlumber.com/p/4x8x12-standard-spruce-plywood/12RGH,2026-05-07T12:28:31.172057
1/2 Spruce Plywood,New Canadian Lumber,"4x8x1/2"" Standard SPF Plywood",,39.98,,https://shop.newcanadianslumber.com/p/4x8x12-standard-spf-plywood/SP12,2026-05-07T12:28:25.974841
2x12x12 Spruce,Downtown Lumber,2x12x12' Premium SPF,,47.98,,https://www.downtownlumber.com/p/2x12x12-premium-spf/21212,2026-05-07T12:28:31.172064
2x4x10 Pressure Treated,Downtown Lumber,2x4x10' Sienna Pressure Treated Lumber,,9.49,,https://www.downtownlumber.com/p/2x4x10-sienna-pressure-treated-lumber/2410PT,2026-05-07T12:28:31.172130
2x4x10 Spruce,New Canadian Lumber,"2x4x104-5/8"" Premium SPF",,4.99,,https://shop.newcanadianslumber.com/p/2x4x104-58-premium-spf/S2410458,2026-05-07T12:28:25.974759
2x4x10 Spruce,New Canadian Lumber,2x4x10' Premium SPF,,5.69,,https://shop.newcanadianslumber.com/p/2x4x10-premium-spf/S2410,2026-05-07T12:28:25.974728
2x4x10 Spruce,Downtown Lumber,2x4x10' Premium SPF,,5.69,,https://www.downtownlumber.com/p/2x4x10-premium-spf/2410,2026-05-07T12:28:31.172004
2x4x10 Spruce,IHL Canada,2 in. x 4 in. x 10 ft. Spruce Lumber,20915,5.75,,https://ihlcanada.com/products/2-in-x-4-in-x-10-ft-spruce-lumber,2026-05-07T12:25:39.486578
2x4x10 Spruce,Downtown Lumber,2x4x10' Sienna Pressure Treated Lumber,,9.49,,https://www.downtownlumber.com/p/2x4x10-sienna-pressure-treated-lumber/2410PT,2026-05-07T12:28:31.172130
2x4x10 Spruce,Downtown Lumber,2x4x10' Premium WR Cedar,,20.99,,https://www.downtownlumber.com/p/2x4x10-premium-wr-cedar/2410C,2026-05-07T12:28:31.172041
2x4x12 Spruce,New Canadian Lumber,2x4x12' Premium SPF,,7.15,,https://shop.newcanadianslumber.com/p/2x4x12-premium-spf/S2412,2026-05-07T12:28:25.974756
2x4x12 Spruce,Downtown Lumber,2x4x12' Premium WR Cedar,,24.99,,https://www.downtownlumber.com/p/2x4x12-premium-wr-cedar/2412C,2026-05-07T12:28:31.172016
2x4x16 Spruce,New Canadian Lumber,2x4x16' Premium SPF,,9.99,,https://shop.newcanadianslumber.com/p/2x4x16-premium-spf/S2416,2026-05-07T12:28:25.974770
2x4x8 Pressure Treated,IHL Canada,2 in. x 4 in. x 8 ft. Brown Pressure Treated Lumber,22115,6.79,,https://ihlcanada.com/products/2-in-x-4-in-brown-pressure-treated-lumber,2026-05-07T12:25:39.486612
2x4x8 Pressure Treated,Downtown Lumber,2x4x8' Sienna Pressure Treated Lumber,,7.49,,https://www.downtownlumber.com/p/2x4x8-sienna-pressure-treated-lumber/248PT,2026-05-07T12:28:31.172109
2x4x8 Spruce,IHL Canada,2 in. x 4 in. x 8 ft. Spruce Lumber,20912,3.78,,https://ihlcanada.com/products/2-in-x-4-in-spruce-lumber,2026-05-07T12:25:39.486557
2x4x8 Spruce,New Canadian Lumber,2x4x8' Premium SPF,,3.98,,https://shop.newcanadianslumber.com/p/2x4x8-premium-spf/S248,2026-05-07T12:28:25.974743
2x4x8 Spruce,Downtown Lumber,2x4x8' Premium SPF,,3.99,,https://www.downtownlumber.com/p/2x4x8-premium-spf/248,2026-05-07T12:28:31.171982
2x4x8 Spruce,Downtown Lumber,2x4x8' Sienna Pressure Treated Lumber,,7.49,,https://www.downtownlumber.com/p/2x4x8-sienna-pressure-treated-lumber/248PT,2026-05-07T12:28:31.172109
2x4x8 Spruce,Downtown Lumber,2x4x8' Premium WR Cedar,,17.99,,https://www.downtownlumber.com/p/2x4x8-premium-wr-cedar/248C,2026-05-07T12:28:31.172121
2x6x10 Spruce,IHL Canada,2 in. x 6 in. x 10 ft. Spruce Lumber,20923,10.24,,https://ihlcanada.com/products/2-in-x-6-in-x-10-ft-spruce-lumber,2026-05-07T12:25:39.486638
2x6x10 Spruce,New Canadian Lumber,2x6x10' Premium SPF,,10.25,,https://shop.newcanadianslumber.com/p/2x6x10-premium-spf/S2610,2026-05-07T12:28:25.974825
2x6x10 Spruce,Downtown Lumber,2x6x10' Premium SPF,,10.29,,https://www.downtownlumber.com/p/2x6x10-premium-spf/2610,2026-05-07T12:28:31.172097
2x6x10 Spruce,Downtown Lumber,2x6x10' Premium WR Cedar,,39.99,,https://www.downtownlumber.com/p/2x6x10-premium-wr-cedar/2610C,2026-05-07T12:28:31.172075
2x6x12 Spruce,Downtown Lumber,2x6x12' Premium SPF,,12.49,,https://www.downtownlumber.com/p/2x6x12-premium-spf/2612,2026-05-07T12:28:31.172136
2x6x8 Spruce,New Canadian Lumber,2x6x8' Premium SPF,,6.49,,https://shop.newcanadianslumber.com/p/2x6x8-premium-spf/S268,2026-05-07T12:28:25.974804
2x6x8 Spruce,Downtown Lumber,2x6x8' Premium SPF,,6.49,,https://www.downtownlumber.com/p/2x6x8-premium-spf/268,2026-05-07T12:28:31.172023
2x6x8 Spruce,IHL Canada,2 in. x 6 in. x 8 ft. Spruce Lumber,20920,6.89,,https://ihlcanada.com/products/2-in-x-6-in-x-8-ft-spruce-lumber,2026-05-07T12:25:39.486607
2x6x8 Spruce,Downtown Lumber,2x6x8' Premium WR Cedar,,34.99,,https://www.downtownlumber.com/p/2x6x8-premium-wr-cedar/268C,2026-05-07T12:28:31.172011
3/4 Spruce Plywood,IHL Canada,3/4 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20951,56.49,,https://ihlcanada.com/products/3-4-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-05-07T12:25:39.486588
3/4 Spruce Plywood,IHL Canada,3/4 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20951,56.49,,https://ihlcanada.com/products/3-4-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-05-07T12:25:41.068761
3/4 Spruce Plywood,New Canadian Lumber,"4x8x3/4"" Standard SPF Plywood",,59.97,,https://shop.newcanadianslumber.com/p/4x8x34-standard-spf-plywood/SP34,2026-05-07T12:28:25.974812
3/4 Spruce Plywood,Downtown Lumber,"4x8x3/4"" Standard Spruce Plywood",,59.97,,https://www.downtownlumber.com/p/4x8x34-standard-spruce-plywood/34RGH,2026-05-07T12:28:31.172092
3/8 Spruce Plywood,New Canadian Lumber,"4x8x3/8"" Standard SPF Plywood",,29.98,,https://shop.newcanadianslumber.com/p/4x8x38-standard-spf-plywood/SP38,2026-05-07T12:28:25.974815
5/8 Spruce Plywood,New Canadian Lumber,"4x8x5/8"" Standard SPF Plywood",,49.98,,https://shop.newcanadianslumber.com/p/4x8x58-standard-spf-plywood/SP58,2026-05-07T12:28:25.974818
7/16 OSB 4x8,New Canadian Lumber,"4x8x7/16"" OSB Board",,12.98,,https://shop.newcanadianslumber.com/p/4x8x716-osb-board/WB716,2026-05-07T12:28:25.974774
7/16 OSB 4x8,IHL Canada,7/16 in. x 4 ft. x 8 ft. OSB Oriented Strand Board,20954,13.98,,https://ihlcanada.com/products/4-ft-x-8-ft-oriented-strand-board,2026-05-07T12:25:39.486619
7/16 OSB 4x8,IHL Canada,7/16 in. x 4 ft. x 8 ft. OSB Oriented Strand Board,20954,13.98,,https://ihlcanada.com/products/4-ft-x-8-ft-oriented-strand-board,2026-05-07T12:25:41.068689
Concrete Mix 30kg,New Canadian Lumber,Quikrete Concrete Mix - 30 kg,,6.89,,https://shop.newcanadianslumber.com/p/quikrete-concrete-mix-30-kg/STMP,2026-05-07T12:28:25.974791
Concrete Mix 30kg,Downtown Lumber,Quikrete Stone-Mix - 30 kg,,6.99,,https://www.downtownlumber.com/p/quikrete-stone-mix-30-kg/CM,2026-05-07T12:28:31.172046
Drywall Compound,New Canadian Lumber,"All-Purpose Lite Drywall Compound, Ready-Mixed, 17 L",,29.99,,https://shop.newcanadianslumber.com/p/all-purpose-lite-drywall-compound-ready-mixed-17-l/RM23C,2026-05-07T12:28:25.974778
